   RF01065           23S-methyl          Terminator2           0.25           53.30           3.28
   RF02042             HOTTIP_3             k-turn-1           0.09           25.90           1.03
   RF02137         HOXA11-AS1_1                 GNRA           0.23           27.90           1.83
   RF02138         HOXA11-AS1_2                 GNRA           0.39           66.80           2.78
   RF02138         HOXA11-AS1_2             k-turn-1           0.11           20.40           0.83
   RF02139         HOXA11-AS1_3                 GNRA           0.10           17.60           0.69
   RF02140         HOXA11-AS1_4               T-loop           0.47           84.60           3.43
   RF02141         HOXA11-AS1_5                 GNRA           0.12           27.20           0.80
   RF02141         HOXA11-AS1_5             k-turn-1           0.08           21.50           0.79
   RF02142         HOXA11-AS1_6          CRC_binding           1.00           282.70           14.84
   RF02142         HOXA11-AS1_6             k-turn-1           0.11           20.60           0.72
   RF02142         HOXA11-AS1_6          Terminator2           0.32           72.50           4.81
   RF02132         HOXB13-AS1_1          CRC_binding           0.17           25.90           2.13
   RF02132         HOXB13-AS1_1             k-turn-1           0.25           31.70           2.87
   RF00433            Hsp90_CRE          Terminator2           0.67           27.40           8.95
   RF02101                 HULC          CRC_binding           0.17           50.00           2.66
   RF02101                 HULC           RBS_E_coli           0.11           31.90           1.96
   RF02101                 HULC          Terminator1           0.11           23.90           1.13
   RF02143                HYMAI                 GNRA           0.33           57.30           4.69
   RF02143                HYMAI             k-turn-1           0.13           21.00           1.67
   RF02143                HYMAI          Terminator2           0.20           34.20           2.05
   RF02035               IMES-2             Domain-V           0.03           34.80           0.27
   RF02035               IMES-2                 GNRA           0.77           804.00           7.81
   RF02035               IMES-2             k-turn-1           0.05           49.80           0.52
   RF02037               IMES-4                 GNRA           0.70           63.60           5.84
   RF02037               IMES-4          Terminator1           0.30           36.60           3.35
   RF02037               IMES-4          Terminator2           0.20           20.90           1.33
   RF00028           Intron_gpI                 GNRA           0.82           165.50           14.84
   RF00028           Intron_gpI          HuR_binding           0.27           38.90           3.59
   RF00029          Intron_gpII             Domain-V           1.00           3114.90           35.76
   RF00029          Intron_gpII                 GNRA           0.79           870.70           10.26
   RF00029          Intron_gpII               T-loop           0.06           50.00           0.69
   RF00029          Intron_gpII               U-turn           0.15           139.30           1.64
   RF00028           Intron_gpI          Terminator1           0.18           49.70           4.77
   RF00028           Intron_gpI          Terminator2           0.18           58.90           5.09
   RF00028           Intron_gpI                 UNCG           0.18           20.50           1.83
   RF00037                IRE_I                 UNCG           0.05           30.20           0.50
   RF00210           IRES_Aptho                 GNRA           1.00           719.50           11.61
   RF00210           IRES_Aptho             k-turn-1           0.66           414.50           5.65
   RF00210           IRES_Aptho          Terminator1           0.36           239.10           3.08
   RF00210           IRES_Aptho          Terminator2           0.03           29.10           2.16
   RF00210           IRES_Aptho               U-turn           0.05           30.70           0.42
   RF00222            IRES_Bag1                 GNRA           0.91           118.70           11.26
   RF00222            IRES_Bag1             k-turn-1           0.45           90.60           9.51
   RF00222            IRES_Bag1              pK-turn           0.18           29.30           2.95
   RF00223             IRES_Bip         CsrA_binding           0.67           46.10           6.27
   RF00223             IRES_Bip                 GNRA           0.50           26.00           5.11
   RF00216           IRES_c-myc               U-turn           0.67           20.80           7.12
   RF00549           IRES_c-sis                 GNRA           0.75           33.80           8.20
   RF00549           IRES_c-sis             k-turn-1           1.00           55.00           13.72
   RF00549           IRES_c-sis               T-loop           0.50           18.60           4.68
   RF00448            IRES_EBNA                 GNRA           0.33           23.40           5.23
   RF00224            IRES_FGF2                 GNRA           0.67           15.70           5.01
   RF00224            IRES_FGF2             k-turn-1           0.67           38.30           12.61
   RF00061             IRES_HCV                 GNRA           0.07           22.50           0.53
   RF00061             IRES_HCV               T-loop           0.05           22.90           0.43
   RF00061             IRES_HCV                 UNCG           0.30           158.70           3.19
   RF00228            IRES_HepA                 GNRA           1.00           24.70           12.35
   RF00228            IRES_HepA          Terminator2           1.00           22.50           11.25
   RF00228            IRES_HepA                 UMAC           1.00           25.40           12.70
   RF00449            IRES_HIF1                 GNRA           0.36           42.80           4.27
   RF00449            IRES_HIF1             k-turn-1           0.18           23.40           2.97
   RF00449            IRES_HIF1                 UNCG           0.36           47.40           5.12
   RF00449            IRES_HIF1               U-turn           0.18           21.90           1.85
   RF00495           IRES_Hsp70                 GNRA           0.29           15.20           1.61
   RF00495           IRES_Hsp70               U-turn           0.29           21.40           2.27
   RF00447           IRES_Kv1_4                 GNRA           0.50           17.90           4.97
   RF00261           IRES_L-myc                 GNRA           1.00           215.50           23.79
   RF00261           IRES_L-myc             k-turn-1           0.67           103.90           10.97
   RF00457             IRES_mnt               U-turn           0.18           21.20           1.93
   RF00226           IRES_n-myc                 GNRA           0.67           17.40           6.13
   RF00209           IRES_Pesti                 GNRA           0.25           14.40           1.26
   RF00209           IRES_Pesti               U-turn           0.25           20.40           3.43
   RF00229         IRES_Picorna                 GNRA           0.41           360.10           3.89
   RF00229         IRES_Picorna          HuR_binding           0.02           26.60           0.50
   RF00229         IRES_Picorna          Terminator1           0.02           29.70           0.56
   RF00229         IRES_Picorna          Terminator2           0.25           226.00           2.86
   RF00547            IRES_TrkB                 GNRA           0.42           48.60           3.56
   RF00547            IRES_TrkB             k-turn-1           0.25           31.50           2.18
   RF00547            IRES_TrkB               T-loop           0.25           31.50           2.95
   RF00547            IRES_TrkB               U-turn           0.17           23.10           2.12
   RF00461          IRES_VEGF_A         CsrA_binding           0.40           22.40           4.43
   RF00461          IRES_VEGF_A                 GNRA           1.00           77.90           15.56
   RF00461          IRES_VEGF_A                 UNCG           0.60           26.40           5.30
   RF02111                IS009          Terminator1           0.33           58.60           6.63
   RF02111                IS009          Terminator2           0.33           54.70           6.16
   RF00124                IS102          Terminator1           0.67           37.30           12.75
   RF00124                IS102          Terminator2           0.67           32.30           11.11
   RF00125                IS128          Terminator1           1.00           43.80           14.67
   RF00125                IS128          Terminator2           1.00           34.80           11.80
   RF01386                 isrB                 UNCG           1.00           38.10           12.33
   RF01387                 isrC                 UNCG           0.33           18.80           3.89
   RF01389                 isrF         CsrA_binding           1.00           34.50           11.50
   RF01389                 isrF                 GNRA           0.67           14.00           3.92
   RF01389                 isrF          Terminator1           0.67           24.20           6.78
   RF01389                 isrF          Terminator2           0.67           23.20           6.50
   RF01390                 isrG               U-turn           1.00           21.10           10.55
   RF01391                 isrH                 GNRA           1.00           17.80           8.90
   RF01391                 isrH          Terminator2           1.00           25.20           12.60
   RF01394                 isrK         CsrA_binding           0.09           57.50           1.14
   RF01394                 isrK                 GNRA           0.04           18.10           0.34
   RF01394                 isrK          Terminator1           0.05           35.00           0.86
   RF01394                 isrK               T-loop           0.25           165.90           3.07
   RF01395                 isrL          Terminator2           1.00           25.10           12.55
   RF01398                 isrP                 GNRA           1.00           14.60           7.30
   RF01398                 isrP          Terminator2           1.00           23.60           11.80
   RF01419                 IsrR          CRC_binding           0.02           97.00           0.42
   RF01419                 IsrR             Domain-V           0.02           54.90           0.17
   RF01419                 IsrR                 GNRA           0.01           32.50           0.16
   RF01419                 IsrR          HuR_binding           0.02           61.50           0.12
   RF01419                 IsrR             k-turn-1           0.02           51.00           0.09
   RF01419                 IsrR          Terminator1           0.11           398.50           1.12
   RF01419                 IsrR          Terminator2           0.21           771.60           2.29
   RF01400                 istR          Terminator1           0.75           43.70           11.06
   RF01400                 istR                 UNCG           1.00           72.20           17.83
   RF02125                JPX_2                 UNCG           0.22           16.60           1.51
   RF00485           K_chan_RES                 GNRA           0.25           171.60           2.06
   RF01946           KCNQ1OT1_1                 GNRA           0.43           25.70           4.90
   RF01946           KCNQ1OT1_1          Terminator1           0.71           83.20           9.76
   RF01946           KCNQ1OT1_1          Terminator2           0.43           40.10           5.94
   RF01946           KCNQ1OT1_1               T-loop           0.43           28.50           3.04
   RF01947           KCNQ1OT1_2                 GNRA           0.12           14.50           1.26
   RF00557           L10_leader                 GNRA           0.19           140.20           1.73
   RF00557           L10_leader          HuR_binding           0.07           77.70           0.94
   RF00557           L10_leader             k-turn-1           0.04           37.30           0.51
   RF00557           L10_leader          Terminator1           0.64           941.50           11.36
   RF00557           L10_leader          Terminator2           0.81           1106.80           13.23
   RF00557           L10_leader                 UNCG           0.25           211.70           2.38
   RF01708                L17DE                 GNRA           0.16           39.70           1.78
   RF01708                L17DE                 UNCG           0.08           24.20           0.44
   RF01708                L17DE               U-turn           0.12           33.80           1.18
   RF00558           L20_leader          CRC_binding           0.08           38.10           1.02
   RF00558           L20_leader                 GNRA           0.33           141.60           3.29
   RF00558           L20_leader          HuR_binding           0.05           24.80           0.60
   RF00558           L20_leader          Terminator1           0.74           481.70           12.60
   RF00558           L20_leader          Terminator2           0.85           502.00           13.07
   RF00558           L20_leader               T-loop           0.10           44.00           1.28
   RF00558           L20_leader                 UMAC           0.05           29.00           0.79
   RF00558           L20_leader                 UNCG           0.10           41.80           1.06
   RF00558           L20_leader               U-turn           0.23           112.50           2.91
   RF00558           L20_leader         VTS1_binding           0.05           24.40           0.49
   RF00559           L21_leader          HuR_binding           0.08           42.40           0.80
   RF00559           L21_leader                 UNCG           0.06           18.10           0.48
   RF01742       lactis-plasmid          CRC_binding           0.57           58.40           6.78
   RF01742       lactis-plasmid                 GNRA           0.29           16.30           2.56
   RF00027                let-7          HuR_binding           0.04           25.50           0.35
   RF00027                let-7               T-loop           0.04           20.70           0.24
   RF00512           Leu_leader                 GNRA           0.83           37.10           6.07
   RF00512           Leu_leader             k-turn-1           0.83           52.00           8.55
   RF00512           Leu_leader          Terminator1           0.83           113.80           18.59
   RF00512           Leu_leader          Terminator2           1.00           94.40           15.75
   RF01743       leu-phe_leader       RBS_B_subtilis           0.33           46.40           7.50
   RF01743       leu-phe_leader          Terminator1           0.67           66.40           11.43
   RF01743       leu-phe_leader          Terminator2           0.67           91.50           15.46
   RF01743       leu-phe_leader                 UNCG           0.67           39.90           6.72
   RF00616                 LhrC          Terminator2           0.90           100.30           10.14
   RF01879            LOC285194               U-turn           0.72           181.80           10.13
   RF00168               Lysine             Domain-V           0.05           24.70           0.51
   RF00168               Lysine                 GNRA           0.41           168.10           3.29
   RF00168               Lysine             k-turn-1           0.30           168.60           4.19
   RF00168               Lysine           RBS_E_coli           0.05           28.90           0.53
   RF00168               Lysine       sarcin-ricin-2           0.82           838.20           18.58
   RF00168               Lysine               T-loop           0.07           28.70           0.59
   RF00168               Lysine               U-turn           0.14           91.00           2.62
   RF01871               MALAT1         RBS_H_pylori           0.15           34.00           2.17
   RF01871               MALAT1               T-loop           0.85           101.80           7.20
   RF01745                 manA                 GNRA           0.51           376.20           3.75
   RF01745                 manA          Terminator2           0.07           67.70           0.48
   RF01745                 manA               T-loop           0.02           20.30           0.34
   RF01745                 manA                 UNCG           0.06           55.50           0.72
   RF01684       mascRNA-menRNA               T-loop           0.65           266.40           7.16
   RF02261              MAT2A_B                 GNRA           0.29           16.20           2.57
   RF01870               MEG3_1                 GNRA           0.12           19.20           1.07
   RF01870               MEG3_1                 UNCG           0.18           27.70           1.55
   RF01872               MEG3_2         CsrA_binding           0.19           47.20           2.51
   RF01872               MEG3_2             k-turn-1           0.12           18.80           1.20
   RF02145               MEG8_1                 GNRA           0.19           35.70           1.93
   RF02145               MEG8_1                 UNCG           0.14           25.70           1.51
   RF02145               MEG8_1         VTS1_binding           0.43           125.50           5.54
   RF02148            MESTIT1_1                 GNRA           0.12           19.40           0.76
   RF00017          Metazoa_SRP                 GNRA           0.60           313.60           8.20
   RF00017          Metazoa_SRP             k-turn-1           0.11           44.60           1.09
   RF00017          Metazoa_SRP         SRP_S_domain           1.00           1665.20           47.94
   RF00017          Metazoa_SRP               T-loop           0.17           58.90           1.26
   RF00017          Metazoa_SRP                 UNCG           0.06           21.60           1.09
   RF01712   Methylobacterium-1         CsrA_binding           0.10           37.80           1.16
   RF01510                  MFR               T-loop           1.00           23.40           11.70
   RF01874           MIAT_exon1                 GNRA           0.60           55.70           6.55
   RF01877         MIAT_exon5_3                 GNRA           0.14           15.30           1.58
   RF01877         MIAT_exon5_3               T-loop           0.50           68.70           3.86
   RF00078                 MicA                 GNRA           0.44           60.80           2.83
   RF00078                 MicA               T-loop           0.12           19.30           1.40
   RF00078                 MicA               U-turn           0.12           24.30           1.76
   RF00121                 MicC          Terminator1           1.00           183.60           26.83
   RF00121                 MicC          Terminator2           1.00           158.00           23.18
   RF00033                 MicF          Terminator2           0.67           23.40           6.40
   RF00033                 MicF                 UNCG           0.67           21.70           8.34
   RF01808                 MicX          CRC_binding           0.29           26.30           4.45
   RF01808                 MicX                 GNRA           0.86           82.30           11.92
   RF01808                 MicX          Terminator1           1.00           177.40           23.60
   RF01808                 MicX          Terminator2           1.00           182.90           25.40
   RF01808                 MicX               T-loop           0.43           29.50           3.82
   RF01808                 MicX               U-turn           0.43           36.80           4.28
   RF02151              MIMT1_1                 GNRA           0.12           18.30           1.07
   RF02151              MIMT1_1               T-loop           0.12           21.60           1.46
   RF01068            mini-ykkC                 GNRA           0.10           45.90           0.73
   RF00253              mir-101                 GNRA           0.18           16.00           1.23
   RF00906              MIR1122          Terminator1           0.62           349.30           10.92
   RF00906              MIR1122          Terminator2           0.74           422.00           13.30
   RF00906              MIR1122                 TRIT           0.24           250.80           8.09
   RF00239              mir-124                 GNRA           0.08           34.30           0.94
   RF00751               mir-12          Terminator2           0.29           21.20           3.15
   RF00951             mir-1302          Terminator2           0.14           44.20           1.49
   RF00951             mir-1302                 UNCG           0.07           17.00           0.81
   RF01038             mir-1307             k-turn-1           1.00           21.00           10.50
   RF00446              mir-133                 UNCG           0.05           19.40           0.63
   RF00683              mir-143               U-turn           0.50           70.70           3.92
   RF00675              mir-145          Terminator2           0.20           20.40           2.12
   RF00675              mir-145                 UNCG           0.80           93.00           9.41
   RF00691              mir-146                 GNRA           0.06           15.60           0.49
   RF00691              mir-146          Terminator2           0.10           33.70           1.67
   RF00693              mir-147          Terminator2           0.04           35.10           0.42
   RF00767              mir-150                 GNRA           0.12           15.80           0.82
   RF00641              mir-154                 GNRA           0.03           22.90           0.16
   RF00641              mir-154          Terminator2           0.08           97.70           0.80
   RF00638               MIR159          CRC_binding           0.03           24.40           0.33
   RF00638               MIR159                 GNRA           0.05           23.70           0.46
   RF00638               MIR159          Terminator1           0.03           34.80           0.63
   RF00638               MIR159          Terminator2           0.08           68.30           1.11
   RF00638               MIR159                 UNCG           0.05           28.20           0.50
   RF00647               MIR164         CsrA_binding           0.07           37.20           0.94
   RF00647               MIR164                 GNRA           0.05           17.10           0.48
   RF00647               MIR164          Terminator2           0.07           40.30           0.85
   RF00647               MIR164                 UNCG           0.12           67.20           1.96
   RF00645             MIR169_2         CsrA_binding           0.04           63.80           0.44
   RF00645             MIR169_2                 GNRA           0.02           15.10           0.14
   RF00645             MIR169_2          HuR_binding           0.02           29.00           0.30
   RF00645             MIR169_2           RBS_E_coli           0.03           49.90           0.47
   RF00645             MIR169_2          Terminator1           0.04           45.10           0.35
   RF00645             MIR169_2          Terminator2           0.11           131.40           1.25
   RF00645             MIR169_2                 UNCG           0.02           19.60           0.18
   RF00643             MIR171_1          Terminator1           0.04           25.00           0.51
   RF00643             MIR171_1          Terminator2           0.10           61.80           1.25
   RF00452              mir-172                 UNCG           0.18           17.20           1.54
   RF02000              MIR1846               T-loop           0.10           20.70           0.92
   RF00674              mir-187             k-turn-1           0.22           36.40           1.36
   RF01897              mir-188                 GNRA           0.29           15.00           2.06
   RF01897              mir-188               U-turn           0.29           24.20           3.01
   RF00672              mir-190          Terminator2           0.08           21.10           0.54
   RF00130              mir-192          Terminator1           0.20           77.30           1.69
   RF00130              mir-192          Terminator2           0.43           226.90           5.38
   RF01942             mir-1937         CsrA_binding           0.06           116.50           0.82
   RF01942             mir-1937                 GNRA           0.04           59.40           0.31
   RF01942             mir-1937             k-turn-1           0.03           49.20           0.38
   RF01942             mir-1937               T-loop           0.01           20.10           0.09
   RF01942             mir-1937                 UNCG           0.02           26.30           0.14
   RF01942             mir-1937               U-turn           0.19           338.40           1.61
   RF00257              mir-194          Terminator2           0.39           123.10           4.17
   RF00681              mir-198          Terminator2           0.67           21.10           6.75
   RF00144              mir-199         VTS1_binding           0.08           43.80           0.95
   RF00245               mir-19                 GNRA           0.08           15.70           0.80
   RF00103                mir-1          Terminator2           0.08           59.30           0.64
   RF00103                mir-1                 UNCG           0.06           33.20           0.72
   RF00646              mir-204                 GNRA           0.07           16.70           0.49
   RF00802              mir-207                 UNCG           0.33           18.80           3.14
   RF00749              mir-208          CRC_binding           0.56           142.50           8.46
   RF00654              mir-216                 GNRA           0.17           50.40           1.94
   RF00673              mir-217               T-loop           0.09           20.80           1.01
   RF01899             mir-2241                 GNRA           0.29           19.00           2.19
   RF01899             mir-2241          Terminator2           0.29           24.10           4.95
   RF00843              mir-228         CsrA_binding           0.50           23.00           5.94
   RF00642               mir-23          CRC_binding           0.09           29.80           0.92
   RF01944             mir-2518                 GNRA           1.00           18.00           9.00
   RF01944             mir-2518             k-turn-1           1.00           25.10           12.55
   RF00834              mir-268          Terminator1           0.50           24.70           5.19
   RF00834              mir-268          Terminator2           0.75           44.80           9.23
   RF00822              mir-274                 UMAC           0.29           25.70           3.49
   RF00644               mir-27                 GNRA           0.13           32.30           1.46
   RF00644               mir-27             k-turn-1           0.06           19.40           0.84
   RF01912             mir-2807               U-turn           0.29           23.50           2.51
   RF00724              mir-282             Domain-V           0.14           21.20           1.72
   RF00747              mir-283          Terminator2           0.42           58.10           3.75
   RF00788              mir-287               U-turn           0.88           74.80           8.98
   RF02027              MIR2907                 GNRA           0.29           137.00           3.02
   RF00665              mir-290          Terminator2           0.15           44.50           1.70
   RF02093             mir-2968                 GNRA           0.50           29.70           3.68
   RF02096             mir-2973                 GNRA           0.78           58.20           6.27
   RF02096             mir-2973          Terminator1           0.33           35.00           4.97
   RF02096             mir-2973          Terminator2           0.33           35.30           5.47
   RF02096             mir-2973                 TRIT           0.22           53.40           5.22
   RF00756              mir-299          Terminator2           0.75           36.80           8.66
   RF00047                mir-2          Terminator2           0.04           28.90           0.50
   RF00047                mir-2               T-loop           0.04           20.20           0.34
   RF02025             mir-3017                 GNRA           0.33           95.30           2.67
   RF02025             mir-3017                 UNCG           0.30           90.50           2.36
   RF00668              mir-302          Terminator1           0.05           21.50           0.73
   RF00668              mir-302          Terminator2           0.66           435.40           9.13
   RF00668              mir-302                 UNCG           0.09           35.80           0.59
   RF00717              mir-315               T-loop           0.20           37.20           2.69
   RF00717              mir-315                 UNCG           0.47           62.10           3.78
   RF00661               mir-31          Terminator2           0.11           44.50           1.02
   RF00736              mir-320          CRC_binding           0.06           39.10           0.80
   RF00736              mir-320                 GNRA           0.04           18.20           0.39
   RF00736              mir-320             k-turn-1           0.06           31.50           0.72
   RF01063              mir-324                 GNRA           0.08           14.80           0.68
   RF01063              mir-324                 UNCG           0.08           17.70           0.79
   RF00770              mir-330                 GNRA           0.50           40.30           7.12
   RF00686              mir-338                 GNRA           0.10           20.10           1.24
   RF00763              mir-339                 UNCG           0.20           26.40           1.77
   RF00761              mir-340          HuR_binding           0.07           43.10           1.50
   RF00761              mir-340          Terminator2           0.07           37.00           0.84
   RF00758              mir-346                 GNRA           0.75           23.90           4.73
   RF00456               mir-34          HuR_binding           0.25           25.80           2.90
   RF00685               mir-36               T-loop           0.18           77.60           2.03
   RF00840              mir-374          Terminator1           0.55           93.30           7.54
   RF00840              mir-374          Terminator2           0.82           152.10           12.20
   RF00841              mir-384               U-turn           0.14           24.40           1.34
   RF00689               MIR390          Terminator2           0.21           31.40           1.70
   RF00451              mir-395                 UNCG           0.24           32.50           1.34
   RF00648               MIR396          CRC_binding           0.06           28.20           0.64
   RF00648               MIR396                 UNCG           0.18           53.80           1.57
   RF00768               MIR405          Terminator1           0.62           98.10           8.08
   RF00768               MIR405          Terminator2           0.85           144.40           11.62
   RF00768               MIR405                 TRIT           0.46           174.70           15.31
   RF01413              miR-430          Terminator1           0.12           53.00           0.76
   RF01413              miR-430          Terminator2           0.16           79.20           1.26
   RF01413              miR-430               T-loop           0.09           38.50           0.69
   RF00718              mir-431                 GNRA           1.00           85.90           14.01
   RF00723              mir-448               U-turn           0.31           65.40           4.75
   RF00711              mir-449          HuR_binding           0.05           44.80           0.65
   RF00711              mir-449                 UNCG           0.09           40.50           0.48
   RF00711              mir-449               U-turn           0.11           63.90           0.85
   RF00708              mir-450          Terminator2           0.48           116.20           3.93
   RF00722              mir-451          Terminator1           0.38           74.60           3.67
   RF00722              mir-451          Terminator2           0.56           112.40           5.31
   RF00746              mir-454                 GNRA           0.27           32.10           1.39
   RF00746              mir-454          Terminator1           0.13           25.00           2.24
   RF00746              mir-454          Terminator2           0.20           41.10           3.35
   RF00779               MIR474                 GNRA           0.45           44.50           4.06
   RF00779               MIR474          Terminator1           0.27           38.40           4.24
   RF00779               MIR474          Terminator2           0.18           24.70           2.92
   RF00779               MIR474                 UNCG           0.36           36.20           3.59
   RF00652               MIR478          HuR_binding           0.33           27.80           3.98
   RF00782               MIR480          Terminator1           0.03           22.80           0.43
   RF00783              mir-484             k-turn-1           0.38           45.80           2.91
   RF00784              mir-486                 GNRA           0.80           67.50           6.70
   RF00639              mir-515                 GNRA           0.10           33.90           0.81
   RF00639              mir-515          Terminator1           0.15           77.80           2.13
   RF00639              mir-515          Terminator2           0.45           225.70           5.91
   RF00639              mir-515                 UNCG           0.15           58.60           1.46
   RF00714               MIR535          Terminator1           0.50           21.70           4.83
   RF00714               MIR535          Terminator2           0.75           34.00           7.77
   RF01045              mir-544          Terminator1           0.21           58.50           2.09
   RF01045              mir-544          Terminator2           0.38           111.30           3.90
   RF01061              mir-548          Terminator1           0.15           82.80           2.46
   RF01061              mir-548          Terminator2           0.30           166.70           3.89
   RF00979              mir-553          Terminator2           0.67           24.30           6.66
   RF00969              mir-556          Terminator1           1.00           32.40           16.20
   RF01036              mir-567                 GNRA           0.25           16.60           1.45
   RF01036              mir-567                 UNCG           0.25           16.60           1.45
   RF00971              mir-578          Terminator1           1.00           28.20           14.10
   RF00971              mir-578          Terminator2           1.00           37.80           18.90
   RF01016              mir-584         CsrA_binding           0.13           30.70           1.99
   RF01016              mir-584                 GNRA           0.13           14.70           0.98
   RF00962              mir-586          Terminator1           1.00           37.40           18.70
   RF00962              mir-586          Terminator2           1.00           34.30           17.15
   RF00928              mir-590          Terminator2           0.20           22.80           1.62
   RF01059              mir-598                 GNRA           0.12           29.00           1.18
   RF01059              mir-598          Terminator2           0.29           89.40           3.30
   RF01059              mir-598                 TRIT           0.08           52.50           1.14
   RF01059              mir-598               U-turn           0.08           20.40           0.84
   RF00854                mir-5          Terminator2           1.00           46.70           11.65
   RF00974              mir-607               T-loop           1.00           21.80           10.90
   RF00959              mir-612                 GNRA           0.50           26.40           4.48
   RF00959              mir-612                 UNCG           0.67           36.90           5.61
   RF01010              mir-632                 GNRA           0.50           80.30           4.92
   RF01010              mir-632             k-turn-1           0.50           87.30           5.11
   RF01010              mir-632          Terminator2           0.12           24.10           1.60
   RF01008              mir-636                 GNRA           0.75           34.70           9.21
   RF00963              mir-642                 UNCG           1.00           17.40           8.70
   RF00980              mir-643          Terminator2           1.00           24.00           12.00
   RF00872              mir-652                 UNCG           0.20           24.90           0.98
   RF00937              mir-653          Terminator2           0.18           21.50           2.49
   RF00960              mir-661                 GNRA           0.50           18.80           4.48
   RF00957              mir-663                 GNRA           0.33           36.40           2.79
   RF00957              mir-663                 UNCG           0.17           26.10           2.78
   RF00957              mir-663         VTS1_binding           0.17           25.10           2.13
   RF00871              mir-689                 GNRA           0.58           73.30           6.16
   RF00871              mir-689             k-turn-1           0.17           18.70           1.63
   RF00871              mir-689                 UNCG           0.17           17.20           1.26
   RF00871              mir-689               U-turn           0.17           21.60           1.41
   RF00143                mir-6          Terminator2           0.38           109.10           4.84
   RF00936              mir-744                 UNCG           0.67           17.40           5.96
   RF00053                mir-7          CRC_binding           0.03           25.10           0.40
   RF00887              mir-802          Terminator1           0.67           101.30           6.87
   RF00886               MIR807          Terminator2           0.15           54.90           1.85
   RF00885               MIR821          Terminator1           1.00           43.60           14.94
   RF00885               MIR821          Terminator2           1.00           52.50           17.68
   RF01015              mir-885                 UNCG           1.00           29.60           9.70
   RF01042              mir-891          Terminator2           0.50           28.30           6.68
   RF01023              mir-940                 GNRA           0.50           35.00           5.10
   RF01055       MOCO_RNA_motif                 GNRA           0.79           698.50           9.74
   RF01055       MOCO_RNA_motif             k-turn-1           0.04           28.40           0.38
   RF01055       MOCO_RNA_motif               T-loop           0.08           60.70           0.41
   RF01055       MOCO_RNA_motif                 UNCG           0.03           18.60           0.34
   RF01746                 mraW                 GNRA           0.25           67.00           2.21
   RF01746                 mraW             k-turn-1           0.19           68.50           2.62
   RF01746                 mraW                 UNCG           0.12           51.50           1.03
   RF01853            mtDNA_ssA          Terminator2           0.04           20.30           0.52
   RF02155            NCRUPAR_2          CRC_binding           1.00           43.80           14.60
   RF01955              NEAT1_1                 GNRA           0.13           19.30           1.59
   RF01980             Nkx2-2as                 GNRA           0.18           30.00           1.75
   RF01980             Nkx2-2as          Terminator1           0.18           39.30           3.04
   RF01980             Nkx2-2as          Terminator2           0.12           26.70           2.33
   RF00161              nos_TCE         VTS1_binding           0.62           82.00           10.46
   RF02156           NPPA-AS1_1                 GNRA           0.15           19.80           1.34
   RF00636                 NRON          Terminator2           0.20           33.30           2.38
   RF01416                 NrrF          Terminator1           1.00           33.80           16.90
   RF01416                 NrrF          Terminator2           1.00           31.10           15.55
   RF01748                 nuoG                 GNRA           0.25           45.30           1.77
   RF01748                 nuoG                 UNCG           0.10           19.70           0.89
   RF01071                  OLE             Domain-V           0.11           28.50           1.52
   RF01071                  OLE                 GNRA           0.95           421.30           22.43
   RF01071                  OLE             k-turn-1           0.21           42.50           2.42
   RF01071                  OLE          Terminator1           0.16           36.50           1.94
   RF01071                  OLE          Terminator2           0.16           41.50           2.07
   RF01071                  OLE               T-loop           0.63           135.60           6.90
   RF01071                  OLE               U-turn           0.26           58.50           3.29
   RF00079               OmrA-B                 GNRA           0.56           115.80           6.11
   RF00079               OmrA-B             k-turn-1           0.50           93.00           5.17
   RF00079               OmrA-B          Terminator1           1.00           235.30           12.94
   RF00079               OmrA-B          Terminator2           0.67           128.30           6.38
   RF00079               OmrA-B               T-loop           0.39           65.10           3.61
   RF02083               OrzO-P          Terminator1           0.80           42.00           8.45
   RF00625                  P11                 GNRA           0.75           150.70           10.72
   RF00625                  P11             k-turn-1           0.17           18.80           2.16
   RF00625                  P11               T-loop           0.25           33.60           2.14
   RF00625                  P11                 UNCG           0.92           110.80           9.49
   RF00627                  P15                 GNRA           0.94           142.00           9.11
   RF00627                  P15                 UNCG           0.19           30.10           2.17
   RF00628                  P16                 GNRA           0.18           33.30           1.08
   RF00628                  P16          Terminator1           0.23           55.20           2.08
   RF00628                  P16          Terminator2           0.18           46.90           1.72
   RF01670                  P17                 GNRA           1.00           16.50           8.25
   RF01670                  P17          Terminator1           1.00           24.70           12.35
   RF01670                  P17          Terminator2           1.00           23.00           11.50
   RF01673                  P20                 GNRA           0.27           22.90           2.47
   RF01673                  P20          Terminator1           0.18           21.00           1.72
   RF01673                  P20          Terminator2           0.36           48.30           4.16
   RF01673                  P20                 UNCG           0.82           162.50           13.02
   RF01673                  P20               U-turn           0.18           21.00           2.19
   RF00629                  P24                 GNRA           0.56           59.40           6.47
   RF00629                  P24             k-turn-1           0.33           28.60           2.83
   RF00629                  P24                 UNCG           0.67           58.70           6.19
   RF00629                  P24               U-turn           0.67           89.00           9.28
